Part,Quantity,Price (USD),Product Link
Uxcell clear rigid acrylic tube 70 mm OD / 66 mm ID / 305 mm length,1 tube,TBD,https://www.walmart.com/ip/Uxcell-Clear-Rigid-Acrylic-Pipe-41mm-1-5-8-ID-x-45mm-OD-x-305mm-12-2mm-3-32-Wall-Round-Tube/941231133
Custom 90 mm top cap,1,TBD,Custom / machined
Custom 90 mm bottom cap,1,TBD,Custom / machined
M4 threaded rods approx. 100 mm,6 rods,TBD,TBD
M4 x 0.7 stainless-steel hex nuts,12,TBD,TBD
M4 flat washers,12,TBD,TBD
Top gasket,1,TBD,TBD
Bottom gasket,1,TBD,TBD
55 mm stainless-steel disks 1 mm thick,10,TBD,Custom / TBD
Stainless-steel internal conductive rods 65 mm,2 rods,TBD,TBD
Internal rod retaining nuts,4,TBD,TBD
Nonconductive disk spacers,9,TBD,3D printed / custom
Positive terminal hardware,1 set,TBD,TBD
Negative terminal hardware,1 set,TBD,TBD
Terminal insulating bushings,2,TBD,TBD
Fill/drain fitting,1,TBD,TBD
Fill/drain cap,1,TBD,TBD
Atmospheric vent fitting,1,TBD,TBD
PLA display stand,1,Already printed,Custom 3D print
PLA full-size fit prototype,1,Already printed,Custom 3D print
Future arc-reactor cosmetic shell,1,TBD,Custom 3D print
Future LED lighting,1 set,TBD,TBD
Current project total,,TBD,
